radius_pc,gamma_seg,temperature_K,velocity_excess_km_s
0.100000,0.880332,211.279668,1.359351
0.124623,0.880515,211.323637,1.356988
0.149246,0.880738,211.377155,1.354113
0.173869,0.881001,211.440167,1.350729
0.198492,0.881303,211.512612,1.346841
0.223116,0.881643,211.594416,1.342454
0.247739,0.882023,211.685497,1.337574
0.272362,0.882441,211.785765,1.332206
0.296985,0.882896,211.895120,1.326358
0.321608,0.883389,212.013453,1.320036
0.346231,0.883919,212.140647,1.313249
0.370854,0.884486,212.276577,1.306005
0.395477,0.885088,212.421110,1.298312
0.420101,0.885725,212.574102,1.290181
0.444724,0.886398,212.735406,1.281620
0.469347,0.887104,212.904864,1.272641
0.493970,0.887843,213.082311,1.263253
0.518593,0.888615,213.267578,1.253469
0.543216,0.889419,213.460485,1.243299
0.567839,0.890254,213.660849,1.232755
0.592462,0.891119,213.868480,1.221850
0.617085,0.892013,214.083180,1.210596
0.641709,0.892936,214.304749,1.199005
0.666332,0.893887,214.532980,1.187091
0.690955,0.894865,214.767660,1.174867
0.715578,0.895869,215.008574,1.162346
0.740201,0.896898,215.255501,1.149541
0.764824,0.897951,215.508216,1.136466
0.789447,0.899027,215.766491,1.123136
0.814070,0.900125,216.030096,1.109563
0.838693,0.901245,216.298795,1.095762
0.863317,0.902385,216.572354,1.081747
0.887940,0.903544,216.850532,1.067531
0.912563,0.904721,217.133089,1.053129
0.937186,0.905916,217.419783,1.038554
0.961809,0.907127,217.710372,1.023820
0.986432,0.908353,218.004610,1.008942
1.011055,0.909593,218.302253,0.993931
1.035678,0.910846,218.603058,0.978803
1.060302,0.912112,218.906778,0.963571
1.084925,0.913388,219.213171,0.948247
1.109548,0.914675,219.521992,0.932845
1.134171,0.915971,219.833001,0.917378
1.158794,0.917275,220.145957,0.901858
1.183417,0.918586,220.460620,0.886298
1.208040,0.919903,220.776755,0.870710
1.232663,0.921226,221.094126,0.855105
1.257286,0.922552,221.412502,0.839496
1.281910,0.923882,221.731654,0.823894
1.306533,0.925214,222.051356,0.808310
1.331156,0.926547,222.371386,0.792756
1.355779,0.927881,222.691524,0.777240
1.380402,0.929215,223.011556,0.761774
1.405025,0.930547,223.331270,0.746368
1.429648,0.931877,223.650460,0.731031
1.454271,0.933204,223.968924,0.715772
1.478894,0.934527,224.286464,0.700601
1.503518,0.935845,224.602886,0.685526
1.528141,0.937158,224.918004,0.670555
1.552764,0.938465,225.231634,0.655697
1.577387,0.939765,225.543599,0.640958
1.602010,0.941057,225.853727,0.626347
1.626633,0.942341,226.161850,0.611869
1.651256,0.943616,226.467808,0.597533
1.675879,0.944881,226.771446,0.583343
1.700503,0.946136,227.072614,0.569306
1.725126,0.947380,227.371168,0.555428
1.749749,0.948612,227.666970,0.541714
1.774372,0.949833,227.959889,0.528168
1.798995,0.951041,228.249798,0.514796
1.823618,0.952236,228.536578,0.501601
1.848241,0.953417,228.820114,0.488588
1.872864,0.954585,229.100300,0.475761
1.897487,0.955738,229.377032,0.463123
1.922111,0.956876,229.650216,0.450676
1.946734,0.957999,229.919760,0.438424
1.971357,0.959107,230.185582,0.426370
1.995980,0.960198,230.447603,0.414515
2.020603,0.961274,230.705752,0.402862
2.045226,0.962333,230.959961,0.391412
2.069849,0.963376,231.210170,0.380166
2.094472,0.964401,231.456324,0.369127
2.119095,0.965410,231.698374,0.358295
2.143719,0.966401,231.936275,0.347670
2.168342,0.967375,232.169990,0.337253
2.192965,0.968331,232.399484,0.327045
2.217588,0.969270,232.624729,0.317046
2.242211,0.970190,232.845703,0.307255
2.266834,0.971093,233.062386,0.297672
2.291457,0.971978,233.274766,0.288297
2.316080,0.972845,233.482835,0.279128
2.340704,0.973694,233.686586,0.270166
2.365327,0.974525,233.886022,0.261408
2.389950,0.975338,234.081147,0.252855
2.414573,0.976133,234.271968,0.244504
2.439196,0.976910,234.458499,0.236353
2.463819,0.977670,234.640756,0.228402
2.488442,0.978411,234.818760,0.220648
2.513065,0.979136,234.992533,0.213090
2.537688,0.979842,235.162104,0.205726
2.562312,0.980531,235.327502,0.198553
2.586935,0.981203,235.488761,0.191569
2.611558,0.981858,235.645918,0.184772
2.636181,0.982496,235.799011,0.178160
2.660804,0.983117,235.948082,0.171729
2.685427,0.983722,236.093176,0.165478
2.710050,0.984310,236.234340,0.159404
2.734673,0.984882,236.371622,0.153503
2.759296,0.985438,236.505073,0.147774
2.783920,0.985978,236.634747,0.142213
2.808543,0.986503,236.760697,0.136818
2.833166,0.987012,236.882981,0.131585
2.857789,0.987507,237.001656,0.126512
2.882412,0.987987,237.116781,0.121595
2.907035,0.988452,237.228417,0.116832
2.931658,0.988903,237.336625,0.112219
2.956281,0.989339,237.441468,0.107754
2.980905,0.989763,237.543010,0.103434
3.005528,0.990172,237.641313,0.099254
3.030151,0.990569,237.736445,0.095213
3.054774,0.990952,237.828469,0.091307
3.079397,0.991323,237.917451,0.087532
3.104020,0.991681,238.003458,0.083887
3.128643,0.992027,238.086556,0.080368
3.153266,0.992362,238.166811,0.076971
3.177889,0.992685,238.244289,0.073694
3.202513,0.992996,238.319058,0.070533
3.227136,0.993297,238.391184,0.067486
3.251759,0.993586,238.460731,0.064550
3.276382,0.993866,238.527767,0.061722
3.301005,0.994135,238.592356,0.058998
3.325628,0.994394,238.654564,0.056376
3.350251,0.994644,238.714454,0.053853
3.374874,0.994884,238.772091,0.051426
3.399497,0.995115,238.827538,0.049092
3.424121,0.995337,238.880857,0.046849
3.448744,0.995550,238.932110,0.044694
3.473367,0.995756,238.981358,0.042624
3.497990,0.995953,239.028661,0.040637
3.522613,0.996142,239.074079,0.038729
3.547236,0.996324,239.117669,0.036899
3.571859,0.996498,239.159490,0.035144
3.596482,0.996665,239.199597,0.033462
3.621106,0.996825,239.238047,0.031849
3.645729,0.996979,239.274893,0.030304
3.670352,0.997126,239.310189,0.028825
3.694975,0.997267,239.343987,0.027409
3.719598,0.997401,239.376339,0.026054
3.744221,0.997530,239.407294,0.024757
3.768844,0.997654,239.436902,0.023518
3.793467,0.997772,239.465211,0.022333
3.818090,0.997884,239.492267,0.021200
3.842714,0.997992,239.518117,0.020119
3.867337,0.998095,239.542804,0.019086
3.891960,0.998193,239.566371,0.018101
3.916583,0.998287,239.588862,0.017160
3.941206,0.998376,239.610318,0.016263
3.965829,0.998462,239.630778,0.015408
3.990452,0.998543,239.650281,0.014593
4.015075,0.998620,239.668865,0.013816
4.039698,0.998694,239.686567,0.013077
