radius_pc,gamma_seg,temperature_K,velocity_excess_km_s,frequency_ratio
0.100000,0.880332,211.279668,1.359351,0.880332
0.109820,0.880400,211.296055,1.358470,0.880400
0.119639,0.880475,211.313965,1.357508,0.880475
0.129459,0.880556,211.333396,1.356464,0.880556
0.139279,0.880643,211.354343,1.355338,0.880643
0.149098,0.880737,211.376805,1.354131,0.880737
0.158918,0.880837,211.400776,1.352844,0.880837
0.168737,0.880943,211.426254,1.351476,0.880943
0.178557,0.881055,211.453235,1.350027,0.881055
0.188377,0.881174,211.481713,1.348499,0.881174
0.198196,0.881299,211.511685,1.346891,0.881299
0.208016,0.881430,211.543146,1.345203,0.881430
0.217836,0.881567,211.576090,1.343437,0.881567
0.227655,0.881710,211.610513,1.341592,0.881710
0.237475,0.881860,211.646409,1.339668,0.881860
0.247295,0.882016,211.683772,1.337666,0.882016
0.257114,0.882177,211.722597,1.335587,0.882177
0.266934,0.882345,211.762877,1.333431,0.882345
0.276754,0.882519,211.804606,1.331198,0.882519
0.286573,0.882699,211.847777,1.328889,0.882699
0.296393,0.882885,211.892384,1.326504,0.882885
0.306212,0.883077,211.938419,1.324044,0.883077
0.316032,0.883274,211.985875,1.321509,0.883274
0.325852,0.883478,212.034745,1.318900,0.883478
0.335671,0.883688,212.085022,1.316216,0.883688
0.345491,0.883903,212.136696,1.313460,0.883903
0.355311,0.884124,212.189760,1.310631,0.884124
0.365130,0.884351,212.244206,1.307729,0.884351
0.374950,0.884583,212.300025,1.304756,0.884583
0.384770,0.884822,212.357209,1.301712,0.884822
0.394589,0.885066,212.415748,1.298597,0.885066
0.404409,0.885315,212.475634,1.295413,0.885315
0.414228,0.885570,212.536857,1.292159,0.885570
0.424048,0.885831,212.599407,1.288837,0.885831
0.433868,0.886097,212.663276,1.285446,0.886097
0.443687,0.886369,212.728452,1.281989,0.886369
0.453507,0.886646,212.794927,1.278464,0.886646
0.463327,0.886928,212.862689,1.274874,0.886928
0.473146,0.887216,212.931728,1.271218,0.887216
0.482966,0.887508,213.002034,1.267498,0.887508
0.492786,0.887807,213.073596,1.263714,0.887807
0.502605,0.888110,213.146403,1.259866,0.888110
0.512425,0.888419,213.220444,1.255956,0.888419
0.522244,0.888732,213.295707,1.251985,0.888732
0.532064,0.889051,213.372181,1.247952,0.889051
0.541884,0.889374,213.449855,1.243859,0.889374
0.551703,0.889703,213.528716,1.239706,0.889703
0.561523,0.890036,213.608753,1.235495,0.890036
0.571343,0.890375,213.689953,1.231225,0.890375
0.581162,0.890718,213.772305,1.226899,0.890718
0.590982,0.891066,213.855795,1.222516,0.891066
0.600802,0.891418,213.940412,1.218077,0.891418
0.610621,0.891776,214.026143,1.213583,0.891776
0.620441,0.892137,214.112974,1.209036,0.892137
0.630261,0.892504,214.200894,1.204435,0.892504
0.640080,0.892875,214.289888,1.199782,0.892875
0.649900,0.893250,214.379945,1.195077,0.893250
0.659719,0.893629,214.471049,1.190322,0.893629
0.669539,0.894013,214.563189,1.185516,0.894013
0.679359,0.894401,214.656350,1.180662,0.894401
0.689178,0.894794,214.750518,1.175759,0.894794
0.698998,0.895190,214.845681,1.170809,0.895190
0.708818,0.895591,214.941823,1.165812,0.895591
0.718637,0.895996,215.038932,1.160770,0.895996
0.728457,0.896404,215.136992,1.155683,0.896404
0.738277,0.896817,215.235990,1.150552,0.896817
0.748096,0.897233,215.335912,1.145377,0.897233
0.757916,0.897653,215.436743,1.140161,0.897653
0.767735,0.898077,215.538468,1.134903,0.898077
0.777555,0.898504,215.641073,1.129605,0.898504
0.787375,0.898936,215.744544,1.124267,0.898936
0.797194,0.899370,215.848865,1.118891,0.899370
0.807014,0.899808,215.954022,1.113477,0.899808
0.816834,0.900250,216.060001,1.108026,0.900250
0.826653,0.900695,216.166785,1.102538,0.900695
0.836473,0.901143,216.274361,1.097016,0.901143
0.846293,0.901595,216.382713,1.091459,0.901595
0.856112,0.902049,216.491826,1.085869,0.902049
0.865932,0.902507,216.601685,1.080246,0.902507
0.875752,0.902968,216.712274,1.074592,0.902968
0.885571,0.903432,216.823579,1.068907,0.903432
0.895391,0.903898,216.935584,1.063192,0.903898
0.905210,0.904368,217.048274,1.057448,0.904368
0.915030,0.904840,217.161633,1.051676,0.904840
0.924850,0.905315,217.275647,1.045877,0.905315
0.934669,0.905793,217.390299,1.040051,0.905793
0.944489,0.906273,217.505575,1.034200,0.906273
0.954309,0.906756,217.621458,1.028324,0.906756
0.964128,0.907241,217.737934,1.022425,0.907241
0.973948,0.907729,217.854986,1.016503,0.907729
0.983768,0.908219,217.972600,1.010558,0.908219
0.993587,0.908711,218.090759,1.004593,0.908711
1.003407,0.909206,218.209449,0.998607,0.909206
1.013226,0.909703,218.328654,0.992602,0.909703
1.023046,0.910201,218.448357,0.986578,0.910201
1.032866,0.910702,218.568545,0.980537,0.910702
1.042685,0.911205,218.689201,0.974479,0.911205
1.052505,0.911710,218.810309,0.968405,0.911710
1.062325,0.912216,218.931855,0.962315,0.912216
1.072144,0.912724,219.053823,0.956211,0.912724
1.081964,0.913234,219.176196,0.950094,0.913234
1.091784,0.913746,219.298961,0.943964,0.913746
1.101603,0.914259,219.422102,0.937822,0.914259
1.111423,0.914773,219.545602,0.931670,0.914773
1.121242,0.915289,219.669448,0.925507,0.915289
1.131062,0.915807,219.793623,0.919334,0.915807
1.140882,0.916325,219.918113,0.913153,0.916325
1.150701,0.916845,220.042902,0.906964,0.916845
1.160521,0.917367,220.167975,0.900768,0.917367
1.170341,0.917889,220.293316,0.894566,0.917889
1.180160,0.918412,220.418912,0.888358,0.918412
1.189980,0.918936,220.544747,0.882145,0.918936
1.199800,0.919462,220.670805,0.875929,0.919462
1.209619,0.919988,220.797073,0.869709,0.919988
1.219439,0.920515,220.923535,0.863487,0.920515
1.229259,0.921042,221.050176,0.857263,0.921042
1.239078,0.921571,221.176982,0.851039,0.921571
1.248898,0.922100,221.303939,0.844814,0.922100
1.258717,0.922629,221.431031,0.838589,0.922629
1.268537,0.923159,221.558245,0.832366,0.923159
1.278357,0.923690,221.685565,0.826145,0.923690
1.288176,0.924221,221.812978,0.819926,0.924221
1.297996,0.924752,221.940469,0.813711,0.924752
1.307816,0.925283,222.068025,0.807499,0.925283
1.317635,0.925815,222.195631,0.801292,0.925815
1.327455,0.926347,222.323273,0.795091,0.926347
1.337275,0.926879,222.450937,0.788896,0.926879
1.347094,0.927411,222.578611,0.782707,0.927411
1.356914,0.927943,222.706279,0.776526,0.927943
1.366733,0.928475,222.833929,0.770353,0.928475
1.376553,0.929006,222.961546,0.764188,0.929006
1.386373,0.929538,223.089119,0.758033,0.929538
1.396192,0.930069,223.216633,0.751887,0.930069
1.406012,0.930600,223.344075,0.745752,0.930600
1.415832,0.931131,223.471432,0.739628,0.931131
1.425651,0.931661,223.598692,0.733515,0.931661
1.435471,0.932191,223.725841,0.727415,0.932191
1.445291,0.932720,223.852868,0.721328,0.932720
1.455110,0.933249,223.979758,0.715254,0.933249
1.464930,0.933777,224.106501,0.709194,0.933777
1.474749,0.934305,224.233083,0.703149,0.934305
1.484569,0.934831,224.359493,0.697118,0.934831
1.494389,0.935357,224.485718,0.691103,0.935357
1.504208,0.935882,224.611746,0.685105,0.935882
1.514028,0.936407,224.737566,0.679123,0.936407
1.523848,0.936930,224.863166,0.673158,0.936930
1.533667,0.937452,224.988534,0.667210,0.937452
1.543487,0.937974,225.113659,0.661281,0.937974
1.553307,0.938494,225.238530,0.655371,0.938494
1.563126,0.939013,225.363135,0.649479,0.939013
1.572946,0.939531,225.487464,0.643607,0.939531
1.582766,0.940048,225.611505,0.637755,0.940048
1.592585,0.940564,225.735248,0.631924,0.940564
1.602405,0.941078,225.858683,0.626114,0.941078
1.612224,0.941591,225.981798,0.620324,0.941591
1.622044,0.942102,226.104584,0.614557,0.942102
1.631864,0.942613,226.227030,0.608812,0.942613
1.641683,0.943121,226.349126,0.603089,0.943121
1.651503,0.943629,226.470862,0.597390,0.943629
1.661323,0.944134,226.592230,0.591714,0.944134
1.671142,0.944638,226.713218,0.586061,0.944638
1.680962,0.945141,226.833818,0.580433,0.945141
1.690782,0.945642,226.954020,0.574829,0.945642
1.700601,0.946141,227.073816,0.569250,0.946141
1.710421,0.946638,227.193195,0.563697,0.946638
1.720240,0.947134,227.312150,0.558169,0.947134
1.730060,0.947628,227.430672,0.552666,0.947628
1.739880,0.948120,227.548751,0.547190,0.948120
1.749699,0.948610,227.666380,0.541741,0.948610
1.759519,0.949098,227.783551,0.536318,0.949098
1.769339,0.949584,227.900254,0.530923,0.949584
1.779158,0.950069,228.016483,0.525555,0.950069
1.788978,0.950551,228.132230,0.520215,0.950551
1.798798,0.951031,228.247486,0.514902,0.951031
1.808617,0.951509,228.362245,0.509618,0.951509
1.818437,0.951985,228.476499,0.504363,0.951985
1.828257,0.952459,228.590241,0.499136,0.952459
1.838076,0.952931,228.703463,0.493938,0.952931
1.847896,0.953401,228.816160,0.488770,0.953401
1.857715,0.953868,228.928324,0.483631,0.953868
1.867535,0.954333,229.039948,0.478521,0.954333
1.877355,0.954796,229.151026,0.473442,0.954796
1.887174,0.955256,229.261553,0.468393,0.955256
1.896994,0.955715,229.371521,0.463374,0.955715
1.906814,0.956171,229.480925,0.458386,0.956171
1.916633,0.956624,229.589759,0.453428,0.956624
1.926453,0.957075,229.698017,0.448501,0.957075
1.936273,0.957524,229.805694,0.443605,0.957524
1.946092,0.957970,229.912785,0.438741,0.957970
1.955912,0.958414,230.019284,0.433908,0.958414
1.965731,0.958855,230.125186,0.429106,0.958855
1.975551,0.959294,230.230486,0.424336,0.959294
1.985371,0.959730,230.335179,0.419598,0.959730
1.995190,0.960164,230.439262,0.414892,0.960164
2.005010,0.960595,230.542728,0.410218,0.960595
2.014830,0.961023,230.645575,0.405576,0.961023
2.024649,0.961449,230.747798,0.400966,0.961449
2.034469,0.961872,230.849392,0.396389,0.961872
2.044289,0.962293,230.950355,0.391844,0.962293
2.054108,0.962711,231.050681,0.387331,0.962711
2.063928,0.963127,231.150368,0.382852,0.963127
2.073747,0.963539,231.249412,0.378405,0.963539
2.083567,0.963949,231.347810,0.373991,0.963949
2.093387,0.964356,231.445558,0.369609,0.964356
2.103206,0.964761,231.542654,0.365261,0.964761
2.113026,0.965163,231.639094,0.360945,0.965163
2.122846,0.965562,231.734876,0.356663,0.965562
2.132665,0.965958,231.829998,0.352414,0.965958
2.142485,0.966352,231.924456,0.348197,0.966352
2.152305,0.966743,232.018248,0.344014,0.966743
2.162124,0.967131,232.111373,0.339864,0.967131
2.171944,0.967516,232.203827,0.335747,0.967516
2.181764,0.967898,232.295610,0.331663,0.967898
2.191583,0.968278,232.386719,0.327613,0.968278
2.201403,0.968655,232.477152,0.323595,0.968655
2.211222,0.969029,232.566908,0.319611,0.969029
2.221042,0.969400,232.655985,0.315660,0.969400
2.230862,0.969768,232.744383,0.311742,0.969768
2.240681,0.970134,232.832100,0.307857,0.970134
2.250501,0.970496,232.919134,0.304005,0.970496
2.260321,0.970856,233.005485,0.300187,0.970856
2.270140,0.971213,233.091152,0.296401,0.971213
2.279960,0.971567,233.176135,0.292649,0.971567
2.289780,0.971918,233.260432,0.288929,0.971918
2.299599,0.972267,233.344044,0.285242,0.972267
2.309419,0.972612,233.426969,0.281588,0.972612
2.319238,0.972955,233.509208,0.277967,0.972955
2.329058,0.973295,233.590761,0.274379,0.973295
2.338878,0.973632,233.671627,0.270823,0.973632
2.348697,0.973966,233.751806,0.267300,0.973966
2.358517,0.974297,233.831299,0.263810,0.974297
2.368337,0.974625,233.910106,0.260352,0.974625
2.378156,0.974951,233.988228,0.256926,0.974951
2.387976,0.975274,234.065664,0.253533,0.975274
2.397796,0.975593,234.142416,0.250172,0.975593
2.407615,0.975910,234.218484,0.246843,0.975910
2.417435,0.976224,234.293869,0.243546,0.976224
2.427255,0.976536,234.368572,0.240281,0.976536
2.437074,0.976844,234.442594,0.237048,0.976844
2.446894,0.977150,234.515936,0.233846,0.977150
2.456713,0.977452,234.588599,0.230676,0.977452
2.466533,0.977752,234.660584,0.227538,0.977752
2.476353,0.978050,234.731893,0.224431,0.978050
2.486172,0.978344,234.802528,0.221355,0.978344
2.495992,0.978635,234.872489,0.218310,0.978635
2.505812,0.978924,234.941779,0.215297,0.978924
2.515631,0.979210,235.010400,0.212314,0.979210
2.525451,0.979493,235.078352,0.209362,0.979493
2.535271,0.979773,235.145638,0.206441,0.979773
2.545090,0.980051,235.212260,0.203550,0.980051
2.554910,0.980326,235.278220,0.200689,0.980326
2.564729,0.980598,235.343520,0.197859,0.980598
2.574549,0.980867,235.408162,0.195059,0.980867
2.584369,0.981134,235.472149,0.192288,0.981134
2.594188,0.981398,235.535482,0.189548,0.981398
2.604008,0.981659,235.598165,0.186837,0.981659
2.613828,0.981917,235.660200,0.184155,0.981917
2.623647,0.982173,235.721589,0.181503,0.982173
2.633467,0.982426,235.782335,0.178880,0.982426
2.643287,0.982677,235.842440,0.176285,0.982677
2.653106,0.982925,235.901908,0.173720,0.982925
2.662926,0.983170,235.960741,0.171184,0.983170
2.672745,0.983412,236.018942,0.168675,0.983412
2.682565,0.983652,236.076514,0.166196,0.983652
2.692385,0.983889,236.133460,0.163744,0.983889
2.702204,0.984124,236.189784,0.161320,0.984124
2.712024,0.984356,236.245487,0.158924,0.984356
2.721844,0.984586,236.300573,0.156556,0.984586
2.731663,0.984813,236.355046,0.154215,0.984813
2.741483,0.985037,236.408909,0.151902,0.985037
2.751303,0.985259,236.462165,0.149615,0.985259
2.761122,0.985478,236.514817,0.147356,0.985478
2.770942,0.985695,236.566869,0.145123,0.985695
2.780762,0.985910,236.618324,0.142917,0.985910
2.790581,0.986122,236.669186,0.140737,0.986122
2.800401,0.986331,236.719459,0.138584,0.986331
2.810220,0.986538,236.769145,0.136456,0.986538
2.820040,0.986743,236.818248,0.134354,0.986743
2.829860,0.986945,236.866773,0.132278,0.986945
2.839679,0.987145,236.914722,0.130227,0.987145
2.849499,0.987342,236.962100,0.128202,0.987342
2.859319,0.987537,237.008911,0.126202,0.987537
2.869138,0.987730,237.055157,0.124226,0.987730
2.878958,0.987920,237.100843,0.122275,0.987920
2.888778,0.988108,237.145973,0.120349,0.988108
2.898597,0.988294,237.190550,0.118447,0.988294
2.908417,0.988477,237.234579,0.116569,0.988477
2.918236,0.988659,237.278063,0.114715,0.988659
2.928056,0.988838,237.321007,0.112885,0.988838
2.937876,0.989014,237.363413,0.111078,0.989014
2.947695,0.989189,237.405288,0.109295,0.989189
2.957515,0.989361,237.446633,0.107534,0.989361
2.967335,0.989531,237.487454,0.105797,0.989531
2.977154,0.989699,237.527755,0.104082,0.989699
2.986974,0.989865,237.567539,0.102390,0.989865
2.996794,0.990028,237.606811,0.100721,0.990028
3.006613,0.990190,237.645574,0.099073,0.990190
3.016433,0.990349,237.683833,0.097447,0.990349
3.026253,0.990507,237.721593,0.095844,0.990507
3.036072,0.990662,237.758856,0.094261,0.990662
3.045892,0.990815,237.795628,0.092700,0.990815
3.055711,0.990966,237.831912,0.091161,0.990966
3.065531,0.991115,237.867713,0.089642,0.991115
3.075351,0.991263,237.903035,0.088144,0.991263
3.085170,0.991408,237.937882,0.086666,0.991408
3.094990,0.991551,237.972258,0.085209,0.991551
3.104810,0.991692,238.006167,0.083772,0.991692
3.114629,0.991832,238.039614,0.082355,0.991832
3.124449,0.991969,238.072603,0.080958,0.991969
3.134269,0.992105,238.105139,0.079581,0.992105
3.144088,0.992238,238.137224,0.078223,0.992238
3.153908,0.992370,238.168864,0.076884,0.992370
